county,estabs_20175221,emplvl_20175221,estabs_20175222,emplvl_20175222,estabs_20175223,emplvl_20175223
06077,128,1570,45,257,46,206
06079,101,1028,34,254,20,51
06081,210,2385,67,3061,80,568
06083,121,1213,38,260,25,137
06085,468,6517,130,1115,163,4414
06087,55,726,20,112,18,57
06089,50,582,16,86,17,81
06091,1,0,,,,
06093,19,114,2,0,2,0
06095,97,1586,34,176,23,167
06097,151,1595,54,686,51,357
06099,106,1330,59,371,43,155
06101,23,356,11,84,8,29
06103,16,121,6,0,3,0
06105,5,25,,,,
06107,73,841,38,316,18,42
06109,18,101,2,0,3,0
06111,222,3602,110,3332,92,638
06113,43,461,13,89,8,18
06115,8,50,1,0,8,17
06999,81,3014,213,2340,157,1678
08000,1766,25322,836,12269,778,10021
08001,102,1153,43,247,46,1091
08003,9,151,4,12,3,7
08005,200,3032,182,5479,143,2185
08007,6,0,1,0,,
08009,4,35,,,,
08011,2,0,,,,
08013,129,1445,46,408,52,227
08014,26,309,14,0,11,0
08015,10,0,1,0,,
08017,4,0,,,,
08019,4,0,2,0,,
08021,2,0,,,,
08025,2,0,,,,
08027,2,0,,,,
08029,14,132,1,0,2,0
08031,221,5323,157,1669,158,1426
08033,1,0,,,,
08035,92,1125,60,568,88,2686
08037,31,275,8,8,13,36
08039,4,0,1,0,,
08041,177,2701,84,1510,63,163
08043,16,119,3,0,2,0
08045,24,254,6,15,5,13
08047,,,1,0,,
08049,7,68,,,,
08051,7,98,3,0,3,0
08053,1,0,,,,
08055,2,0,,,,
08057,1,0,,,,
08059,173,2077,87,1081,86,770
08061,1,0,,,,
08063,8,0,1,0,,
08065,2,0,,,,
08067,16,304,7,0,7,0
08069,106,1418,34,506,37,154
08071,4,0,1,0,,
08073,3,0,1,0,,
08075,8,104,2,0,1,0
08077,46,864,20,151,13,88
08079,1,0,,,,
08081,4,31,,,,
08083,8,127,2,0,2,0
08085,15,164,4,25,,
08087,11,152,3,10,,
08089,9,139,1,0,1,0
08091,4,0,,,,
08093,1,0,,,1,0
08095,5,32,,,,
08097,15,134,1,0,1,0
08099,10,0,2,0,,
08101,57,625,14,97,10,19
08103,4,35,,,,
08105,7,77,1,0,1,0
08107,12,159,3,0,3,0
08109,4,0,,,,
08111,1,0,,,,
08113,7,45,,,,
08115,3,0,,,,
08117,19,143,6,0,4,0
08119,6,73,1,0,2,0
08121,7,30,,,,
08123,77,845,17,192,14,20
08125,8,0,1,0,,
08999,7,504,14,46,7,62
09000,1466,17855,401,4622,321,1856
09001,419,5758,130,2777,108,325
09003,384,5675,113,962,68,498
09005,78,682,7,12,8,46
09007,67,655,10,50,11,13
09009,301,3235,61,389,60,738
09011,115,1059,16,61,12,23
09013,41,273,9,32,5,6
09015,45,302,5,0,6,0
09999,19,217,51,0,44,0
10000,344,9477,235,16145,131,1900
10001,47,0,27,384,8,0
10003,207,7994,162,15161,100,1595
10005,84,1045,36,0,18,0
10999,7,0,11,0,5,0
11000,283,3520,51,3166,66,523
11001,283,3520,51,3166,66,523
12000,6280,98956,3139,41390,1860,23779
12001,85,1070,29,171,12,38
12003,6,0,2,0,,
12005,71,814,24,232,5,27
12007,5,65,4,25,,
12009,156,1461,56,244,23,119
12011,514,6406,357,5455,240,2525
12013,3,0,2,0,,
12015,60,529,6,10,10,27
12017,47,328,9,0,2,0
12019,43,558,20,100,8,14
12021,159,1565,40,281,26,94
12023,17,308,7,0,2,0
12027,7,80,3,23,,
12029,3,0,1,0,,
